gene,residual_baseline_cindex,residual_perturbed_cindex_mean,residual_perturbed_cindex_std,residual_delta_cindex_mean,residual_delta_cindex_std,residual_method,residual_n_repeats,gated_baseline_cindex,gated_perturbed_cindex_mean,gated_perturbed_cindex_std,gated_delta_cindex_mean,gated_delta_cindex_std,gated_method,gated_n_repeats,max_delta_cindex,mean_delta_cindex
KCNA10,0.6623070974683118,0.661459839289917,0.00039832439820110564,0.0008472581783948163,0.00039832439820110564,shuffle,10,0.6660054466597183,0.6658339777426622,0.0003594341566267369,0.00017146891705610567,0.0003594341566267369,shuffle,10,0.0008472581783948163,0.000509363547725461
FABP6,0.6623070974683118,0.6614632014255454,0.0007590463309890437,0.0008438960427664677,0.0007590463309890437,shuffle,10,0.6660054466597183,0.6656961301818914,0.0003188893037388189,0.0003093164778268376,0.0003188893037388189,shuffle,10,0.0008438960427664677,0.0005766062602966526
ZSCAN1,0.6623070974683118,0.661496822781831,0.0007924162107113948,0.0008102746864808719,0.0007924162107113948,shuffle,10,0.6660054466597183,0.6663349359513162,0.00017261873587725687,-0.0003294892915979286,0.00017261873587725687,shuffle,10,0.0008102746864808719,0.00024039269744147163
APBA1,0.6623070974683118,0.6615035470530881,0.0007764204200766518,0.0008035504152237305,0.0007764204200766518,shuffle,10,0.6660054466597183,0.6661668291698888,0.00036732004932247425,-0.00016138251017050464,0.00036732004932247425,shuffle,10,0.0008035504152237305,0.0003210839525266129
SUMO3,0.6623070974683118,0.6615136334599737,0.0004194457902363622,0.0007934640083381295,0.0004194457902363622,shuffle,10,0.6660054466597183,0.6656557845543489,0.00031439114353121785,0.0003496621053693527,0.00031439114353121785,shuffle,10,0.0007934640083381295,0.0005715630568537411
GRIP1,0.6623070974683118,0.6615169955956024,0.0003523832522875398,0.0007901018727094478,0.0003523832522875398,shuffle,10,0.6660054466597183,0.6655750932992637,0.0004655799179131535,0.00043035336045460504,0.0004655799179131535,shuffle,10,0.0007901018727094478,0.0006102276165820264
CACNA1B,0.6623070974683118,0.6615203577312309,0.0007340243579461496,0.0007867397370809881,0.0007340243579461496,shuffle,10,0.6660054466597183,0.665820529200148,0.00037986181454001974,0.0001849174595702774,0.00037986181454001974,shuffle,10,0.0007867397370809881,0.00048582859832563274
NXPE4,0.6623070974683118,0.6615405305450021,0.00034543387120440254,0.000766566923309786,0.00034543387120440254,shuffle,10,0.6660054466597183,0.6659213932690045,0.00028775245887474333,8.4053390713823e-05,0.00028775245887474333,shuffle,10,0.000766566923309786,0.0004253101570118045
H2BC7,0.6623070974683118,0.6615405305450022,0.0005478940181564583,0.000766566923309675,0.0005478940181564583,shuffle,10,0.6660054466597183,0.6654708670947785,0.0003825897620779083,0.0005345795649397411,0.0003825897620779083,shuffle,10,0.000766566923309675,0.0006505732441247081
ZNF563,0.6623070974683118,0.6615405305450023,0.000717924214023835,0.000766566923309564,0.000717924214023835,shuffle,10,0.6660054466597183,0.6661668291698888,0.00026635245026174773,-0.00016138251017050464,0.00026635245026174773,shuffle,10,0.000766566923309564,0.0003025922065695297
SLC36A3,0.6623070974683118,0.6615472548162592,0.0002406687982809161,0.0007598426520526447,0.0002406687982809161,shuffle,10,0.6660054466597183,0.6659348418115186,0.00020586046484675916,7.06048481996513e-05,0.00020586046484675916,shuffle,10,0.0007598426520526447,0.000415223750126148
LOC100130051,0.6623070974683118,0.661557341223145,0.0006557543668301292,0.0007497562451668216,0.0006557543668301292,shuffle,10,0.6660054466597183,0.6662071747974314,0.0003328344463104505,-0.0002017281377131308,0.0003328344463104505,shuffle,10,0.0007497562451668216,0.0002740140537268454
CD3G,0.6623070974683118,0.6615775140369163,0.00025651574569089675,0.0007295834313955085,0.00025651574569089675,shuffle,10,0.6660054466597183,0.6658440641495478,0.0003651595059647136,0.00016138251017050464,0.0003651595059647136,shuffle,10,0.0007295834313955085,0.0004454829707830066
