gene,mean_gate_score,std_gate_score
RELL2,0.57568336,0.11396797
SF3A3,0.57558066,0.14452823
CACHD1,0.57555467,0.10080482
BAAT,0.57554,0.1839918
CDX4,0.5753546,0.115738794
DDA1,0.5751977,0.10756341
SPINK6,0.57516915,0.13367441
SLFNL1,0.57492715,0.15332521
F10,0.5748917,0.09946987
MARC2,0.57483137,0.110583015
SLC9B1,0.57476497,0.14338069
TBCB,0.574738,0.13660996
SMARCA2,0.57473564,0.11717865
NPTN,0.57461214,0.12763031
ZNF781,0.5745082,0.15384465
KRTAP10-4,0.57436365,0.12820067
LDB2,0.57415974,0.10136107
TRAPPC2,0.57396585,0.092195995
ASPN,0.5739316,0.14546904
CKMT1B,0.573866,0.12498318
SLC7A6OS,0.57380795,0.08571161
LACRT,0.57374233,0.17197233
CBFA2T2,0.57368255,0.12953414
LOC100288069,0.5736691,0.12532231
DAND5,0.57363206,0.15679681
NPC1,0.57354575,0.17392902
FUS,0.57352716,0.18924317
PTN,0.573346,0.10618579
COX8A,0.5733392,0.1315251
KIF13A,0.5731285,0.13866211
FAHD2B,0.5730435,0.12940608
VASH1,0.5729934,0.14617746
ATP13A4,0.57274336,0.128786
PDCL3P4,0.5725793,0.12740579
MMUT,0.5725265,0.15202457
NKX1-2,0.572466,0.12564191
NR2C2,0.5724311,0.16860186
LOC649133,0.57235694,0.122717045
MCM9,0.5722213,0.15336132
C11orf96,0.5721691,0.1296748
ADRB1,0.5720878,0.12164029
HCG27,0.5720104,0.10839583
NEFM,0.5720001,0.13770705
FSCB,0.5719916,0.122482546
SLC17A3,0.57197434,0.13092424
PLCB3,0.57196873,0.16806099
SPECC1,0.5719488,0.13619597
CATSPER1,0.5719485,0.14823483
LRRC27,0.57190764,0.11753614
CDHR4,0.5718877,0.14748093
LOC100131820,0.57178694,0.17024231
ZFP14,0.5717771,0.11780826
LINC01951,0.57169735,0.10922461
LOC100129408,0.571695,0.16664091
CCDC196,0.57161546,0.13255405
LIMS1,0.57157725,0.120540164
ZNF486,0.5715761,0.1578213
GAFA3,0.5714758,0.095636055
KMO,0.5714368,0.14521177
GDF11,0.57141197,0.12387683
SLC9A8,0.5713482,0.10010865
SOX8,0.57117623,0.12924047
KIAA0319,0.57100815,0.15307054
SETD9,0.5710025,0.1157281
ARHGDIG,0.5708819,0.12846027
HSPB3,0.57088083,0.1442396
CDKL4,0.57080644,0.14732361
DIMT1,0.5707825,0.18581527
MIR924HG,0.57077694,0.12035383
TRIP12,0.570739,0.1170951
CATSPERG,0.57060313,0.13760321
KLHDC7A,0.57059705,0.12593824
PHF20L1,0.57053775,0.12181532
SYP,0.570495,0.11512427
TMPRSS15,0.5703749,0.13264649
CCDC155,0.5702774,0.10274364
RHOXF1,0.57021916,0.114675984
BATF3,0.57016456,0.11528301
HOXC6,0.57015276,0.12661937
MRPL24,0.57013613,0.13874008
GDPD2,0.5700303,0.11284027
TSR2,0.56999815,0.14771803
AURKAIP1,0.5699822,0.1804349
CLDN1,0.5699583,0.10157861
FLG,0.5699487,0.14696145
FCRL2,0.56984115,0.121470034
KCNJ12,0.5696429,0.10244052
IFITM3,0.5696404,0.13611896
ANKRD24,0.5694874,0.14210455
C15orf56,0.56941813,0.09721837
SPEM2,0.56933993,0.11769042
LGALS1,0.56933385,0.16475809
RIT2,0.5693018,0.17269005
OR7G2,0.5692517,0.14614257
LRP2,0.5691767,0.10685819
NBPF10,0.5691006,0.13830756
ZNF234,0.5688914,0.12784298
PRRT1,0.5688395,0.1511187
LCLAT1,0.56883603,0.16221257
ALPK1,0.56876326,0.17749147
CCDC32,0.5687585,0.15284061
ZSCAN21,0.5685839,0.1376108
CEP83,0.56857365,0.12254146
UNQ9370,0.5685641,0.13766494
