Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Interleukin-1 Beta Production (GO:0032651)	1/84	1.037162e-01	1.633963e-01	0	0	9.586024e+00	2.172286e+01	CARD18
GO_Biological_Process_2023	Positive Regulation Of Protein Localization (GO:1903829)	1/85	1.048863e-01	1.633963e-01	0	0	9.471429e+00	2.135692e+01	CROCC
GO_Biological_Process_2023	Defense Response To Gram-positive Bacterium (GO:0050830)	1/85	1.048863e-01	1.633963e-01	0	0	9.471429e+00	2.135692e+01	IL12A
GO_Biological_Process_2023	Regulation Of Type II Interferon Production (GO:0032649)	1/87	1.072221e-01	1.633963e-01	0	0	9.250233e+00	2.065441e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)	1/88	1.083877e-01	1.633963e-01	0	0	9.143448e+00	2.031711e+01	CROCC
GO_Biological_Process_2023	Positive Regulation Of Cell Adhesion (GO:0045785)	1/88	1.083877e-01	1.633963e-01	0	0	9.143448e+00	2.031711e+01	IL12A
GO_Biological_Process_2023	Protein Ubiquitination (GO:0016567)	2/434	1.085988e-01	1.633963e-01	0	0	3.769676e+00	8.369039e+00	RNF135;ASB4
GO_Biological_Process_2023	Steroid Metabolic Process (GO:0008202)	1/92	1.130358e-01	1.685262e-01	0	0	8.739780e+00	1.905316e+01	UGT2B17
GO_Biological_Process_2023	Positive Regulation Of Cellular Component Biogenesis (GO:0044089)	1/93	1.141942e-01	1.687194e-01	0	0	8.644348e+00	1.875698e+01	HAS3
GO_Biological_Process_2023	Peptidyl-Lysine Modification (GO:0018205)	1/94	1.153511e-01	1.689070e-01	0	0	8.550968e+00	1.846816e+01	SUMO3
GO_Biological_Process_2023	Regulation Of Protein Localization (GO:0032880)	1/97	1.188132e-01	1.699238e-01	0	0	8.282500e+00	1.764340e+01	SUMO3
GO_Biological_Process_2023	Regulation Of Defense Response (GO:0031347)	1/97	1.188132e-01	1.699238e-01	0	0	8.282500e+00	1.764340e+01	RNF135
GO_Biological_Process_2023	Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162)	1/98	1.199643e-01	1.699238e-01	0	0	8.196701e+00	1.738160e+01	DBH
GO_Biological_Process_2023	Protein Complex Oligomerization (GO:0051259)	1/100	1.222622e-01	1.699238e-01	0	0	8.030303e+00	1.687638e+01	RNF135
GO_Biological_Process_2023	Response To UV (GO:0009411)	1/100	1.222622e-01	1.699238e-01	0	0	8.030303e+00	1.687638e+01	IL12A
GO_Biological_Process_2023	Regulation Of Organelle Organization (GO:0033043)	1/100	1.222622e-01	1.699238e-01	0	0	8.030303e+00	1.687638e+01	SPATA4
GO_Biological_Process_2023	Regulation Of Protein Secretion (GO:0050708)	1/102	1.245544e-01	1.716548e-01	0	0	7.870495e+00	1.639434e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Metabolic Process (GO:0009893)	1/108	1.313963e-01	1.780909e-01	0	0	7.426916e+00	1.507320e+01	DBH
GO_Biological_Process_2023	Lipid Transport (GO:0006869)	1/108	1.313963e-01	1.780909e-01	0	0	7.426916e+00	1.507320e+01	FABP6
GO_Biological_Process_2023	Response To Lipid (GO:0033993)	1/110	1.336655e-01	1.796815e-01	0	0	7.289908e+00	1.467032e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Cellular Component Organization (GO:0051130)	1/113	1.370587e-01	1.827449e-01	0	0	7.093571e+00	1.409738e+01	HAS3
GO_Biological_Process_2023	Regulation Of Cytoskeleton Organization (GO:0051493)	1/114	1.381868e-01	1.827632e-01	0	0	7.030442e+00	1.391429e+01	SPATA4
GO_Biological_Process_2023	Regulation Of Protein Binding (GO:0043393)	1/118	1.426855e-01	1.872033e-01	0	0	6.788718e+00	1.321840e+01	CARD18
GO_Biological_Process_2023	Potassium Ion Transport (GO:0006813)	1/122	1.471615e-01	1.915435e-01	0	0	6.562975e+00	1.257613e+01	KCNA10
GO_Biological_Process_2023	Protein-Containing Complex Organization (GO:0043933)	1/126	1.516151e-01	1.956788e-01	0	0	6.351680e+00	1.198188e+01	APBA1
GO_Biological_Process_2023	Regulation Of Response To External Stimulus (GO:0032101)	1/127	1.527250e-01	1.956788e-01	0	0	6.300952e+00	1.184022e+01	RNF135
