Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Antiviral Innate Immune Response (GO:0140374)	1/46	4.282575e-02	9.635793e-02	0	0	2.461235e+01	7.754404e+01	RNF135
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Activation (GO:0051251)	1/47	4.373716e-02	9.689463e-02	0	0	2.407609e+01	7.534749e+01	IL12A
GO_Biological_Process_2023	Regulation Of Interferon-Beta Production (GO:0032648)	1/50	4.646646e-02	9.881564e-02	0	0	2.259864e+01	6.935578e+01	RNF135
GO_Biological_Process_2023	Positive Regulation Of Fat Cell Differentiation (GO:0045600)	1/50	4.646646e-02	9.881564e-02	0	0	2.259864e+01	6.935578e+01	ADIRF
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912)	1/51	4.737458e-02	9.881564e-02	0	0	2.214556e+01	6.753662e+01	IL12A
GO_Biological_Process_2023	Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117)	1/53	4.918837e-02	9.881564e-02	0	0	2.129167e+01	6.413259e+01	CARD18
GO_Biological_Process_2023	Negative Regulation Of Cell Population Proliferation (GO:0008285)	2/379	4.953281e-02	9.881564e-02	0	0	6.117647e+00	1.838426e+01	FABP6;IL12A
GO_Biological_Process_2023	Protein K63-linked Ubiquitination (GO:0070534)	1/54	5.009404e-02	9.881564e-02	0	0	2.088889e+01	6.253827e+01	RNF135
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)	1/54	5.009404e-02	9.881564e-02	0	0	2.088889e+01	6.253827e+01	IL12A
GO_Biological_Process_2023	Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)	1/54	5.009404e-02	9.881564e-02	0	0	2.088889e+01	6.253827e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)	1/55	5.099889e-02	9.924109e-02	0	0	2.050103e+01	6.101006e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Type II Interferon Production (GO:0032729)	1/58	5.370855e-02	1.031204e-01	0	0	1.941910e+01	5.678501e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Organelle Assembly (GO:1902117)	1/61	5.641088e-02	1.068838e-01	0	0	1.844537e+01	5.303216e+01	CROCC
GO_Biological_Process_2023	Protein Polymerization (GO:0051258)	1/63	5.820837e-02	1.077373e-01	0	0	1.784857e+01	5.075644e+01	RNF135
GO_Biological_Process_2023	Positive Regulation Of Type I Interferon Production (GO:0032481)	1/64	5.910589e-02	1.077373e-01	0	0	1.756437e+01	4.967951e+01	RNF135
GO_Biological_Process_2023	Cellular Response To Virus (GO:0098586)	1/64	5.910589e-02	1.077373e-01	0	0	1.756437e+01	4.967951e+01	IL12A
GO_Biological_Process_2023	Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)	1/65	6.000261e-02	1.080047e-01	0	0	1.728906e+01	4.864048e+01	IL12A
GO_Biological_Process_2023	Extrinsic Apoptotic Signaling Pathway (GO:0097191)	1/67	6.179362e-02	1.094499e-01	0	0	1.676347e+01	4.666874e+01	IL12A
GO_Biological_Process_2023	Protein Ubiquitination (GO:0016567)	2/434	6.300888e-02	1.094499e-01	0	0	5.323802e+00	1.471754e+01	RNF135;ASB4
GO_Biological_Process_2023	Response To Molecule Of Bacterial Origin (GO:0002237)	1/69	6.358139e-02	1.094499e-01	0	0	1.626879e+01	4.482759e+01	IL12A
GO_Biological_Process_2023	Protein Autoubiquitination (GO:0051865)	1/71	6.536593e-02	1.094499e-01	0	0	1.580238e+01	4.310501e+01	ASB4
GO_Biological_Process_2023	Regulation Of Cilium Assembly (GO:1902017)	1/71	6.536593e-02	1.094499e-01	0	0	1.580238e+01	4.310501e+01	CROCC
GO_Biological_Process_2023	Negative Regulation Of Protein Binding (GO:0032091)	1/71	6.536593e-02	1.094499e-01	0	0	1.580238e+01	4.310501e+01	CARD18
GO_Biological_Process_2023	Monocarboxylic Acid Transport (GO:0015718)	1/73	6.714726e-02	1.111403e-01	0	0	1.536188e+01	4.149041e+01	FABP6
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Proliferation (GO:0050671)	1/74	6.803671e-02	1.113328e-01	0	0	1.515068e+01	4.072061e+01	IL12A
GO_Biological_Process_2023	Regulation Of Fat Cell Differentiation (GO:0045598)	1/75	6.892536e-02	1.115197e-01	0	0	1.494520e+01	3.997438e+01	ADIRF
GO_Biological_Process_2023	Regulation Of Immune Response (GO:0050776)	1/77	7.070026e-02	1.131204e-01	0	0	1.455044e+01	3.854857e+01	RNF135
GO_Biological_Process_2023	Regulation Of Innate Immune Response (GO:0045088)	1/78	7.158650e-02	1.132797e-01	0	0	1.436075e+01	3.786713e+01	RNF135
GO_Biological_Process_2023	Regulation Of Interleukin-1 Beta Production (GO:0032651)	1/84	7.688718e-02	1.181462e-01	0	0	1.331861e+01	3.416777e+01	CARD18
GO_Biological_Process_2023	Positive Regulation Of Protein Localization (GO:1903829)	1/85	7.776784e-02	1.181462e-01	0	0	1.315939e+01	3.360945e+01	CROCC
GO_Biological_Process_2023	Defense Response To Gram-positive Bacterium (GO:0050830)	1/85	7.776784e-02	1.181462e-01	0	0	1.315939e+01	3.360945e+01	IL12A
GO_Biological_Process_2023	Negative Regulation Of Binding (GO:0051100)	1/86	7.864769e-02	1.181462e-01	0	0	1.300392e+01	3.306607e+01	CARD18
GO_Biological_Process_2023	Regulation Of Type II Interferon Production (GO:0032649)	1/87	7.952676e-02	1.181462e-01	0	0	1.285207e+01	3.253709e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)	1/88	8.040503e-02	1.181462e-01	0	0	1.270370e+01	3.202195e+01	CROCC
GO_Biological_Process_2023	Positive Regulation Of Cell Adhesion (GO:0045785)	1/88	8.040503e-02	1.181462e-01	0	0	1.270370e+01	3.202195e+01	IL12A
GO_Biological_Process_2023	Steroid Metabolic Process (GO:0008202)	1/92	8.391017e-02	1.220512e-01	0	0	1.214286e+01	3.009010e+01	UGT2B17
GO_Biological_Process_2023	Regulation Of Defense Response (GO:0031347)	1/97	8.827380e-02	1.258373e-01	0	0	1.150752e+01	2.793235e+01	RNF135
